"Mountain","Metres","Feet","Location and Notes"
"Mount Blackburn","4,996","16,391","Wrangell Mtns., Alaska, USA (also given 5036 m)"
"Pico Bolívar","4,981","16,342","Sierra Nevada de Mérida, Andes, Venezuela – Highest in Venezuela"
"Pik Talgar","4,979","16,335","Tian Shan, Kazakhstan – Highest in northern Tian Shan"
"Gunshar","4,950","16,240","Indus Kohistan, Pakistan"
"Mount Sanford","4,949","16,237","Wrangell Mtns., Alaska, USA"
"Pico Humboldt","4,940","16,207","Sierra Nevada de Mérida, Andes, Venezuela"
"Vinson Massif","4,892","16,050","Sentinel Range, Ellsworth Mountains, Antarctica – Highest in Antarctica"
"Pico Bonpland","4,890","16,043","Sierra Nevada de Mérida, Andes, Venezuela"
"Puncak Jaya","4,884","16,024","Sudirman Range, Papua, Indonesia – Highest in Indonesia"
"Pico La Concha","4,870","15,978","Sierra Nevada de Mérida, Andes, Venezuela"
"Gistola","4,860","15,945","Caucasus Mountains, Svaneti, Georgia"
"Shota Rustaveli Peak","4,860","15,945","Caucasus Mountains, Svaneti, Georgia/North Caucasus, Russia"
"Tetnuldi","4,858","15,938","Caucasus Mountains, Svaneti, Georgia"
"Mount Tyree","4,852","15,919","Sentinel Range, Ellsworth Mountains, Antarctica – Second Highest in Antarctica"
"Huaynaputina","4,850","15,912","Andes, Peru"
"Alam Kuh","4,850","15,912","Alborz, Iran – Second highest in Iran"
"Mount Wood","4,842","15,886","Saint Elias Mountains, Yukon, Canada"
"Mount Vancouver","4,812","15,787","Saint Elias Mountains, Yukon, Canada"
"Sabalan","4,811","15,784","Iran"
"Mont Blanc","4,810","15,781","Mont Blanc massif, France/Italy – Highest in Alps"
"AMK","4,822","15,820","Sahyadri, Maharashtra Sahyadri, India (Maharashtra)"
"Corazón","4,790","15,715","Andes, Ecuador"
"Pichincha","4,784","15,696","Andes, Ecuador"
"Jimara","4,780","15,682","Khokh Range, Caucasus Mountains, Georgia"
"Mount Churchill","4,766","15,636","Saint Elias Mountains, Alaska, USA"
"Puncak Mandala","4,760","15,617","Papua, Indonesia"
"Klyuchevskaya Sopka","4,750","15,584","Kamchatka, Russia"
"Puncak Trikora","4,750","15,584","Papua, Indonesia"
"Mont Blanc de Courmayeur","4,748","15,577","Mont Blanc massif, France/Italy"
