"Mountain", "Metres", "Feet", "Location and Notes"
"Tromen", "3,978", "13,051", "Argentina"
"Acatenango", "3,976", "13,045", "Guatemala"
"Descabezado Grande", "3,953", "12,969", "Chile"
"Ushkovsky", "3,943", "12,936", "Kamchatka Peninsula, Russia"
"Taftan", "3,940", "12,927", "Sistan and Baluchestan, Iran"
"Mount Erciyes", "3,916", "12,848", "Kayseri Province, Turkey"
"Quilotoa", "3,914", "12,841", "Ecuador"
"Jocotitlan", "3,900", "12,795", "Mexico"
"Romeral", "3,858", "12,657", "Colombia"
"Mount Kerinci", "3,805", "12,484", "Sumatra, Indonesia"
"Mount Erebus", "3,795", "12,451", "Antarctica"
"Cerro Azul", "3,788", "12,428", "Chile"
"Mount Hagen", "3,778", "12,395", "Papua New Guinea"
"Mount Fuji", "3,776", "12,388", "Chūbu region, Honshū, Japan"
"Santa María", "3,772", "12,375", "Guatemala"
"Volcán de Fuego", "3,763", "12,346", "Guatemala"
"Volcán de Agua", "3,750", "12,303", "Guatemala"
"Lanín", "3,747", "12,293", "Argentina/Chile"
"Mount Adams", "3,743", "12,280", "Washington, United States"
"Mount Rinjani", "3,726", "12,224", "Lombok, Indonesia"
"Teide", "3,718", "12,198", "Tenerife, Spain"
"Sahand", "3,707", "12,162", "East Azarbaijan, Iran"
"Payun Matru", "3,680", "12,073", "Argentina"
"Semeru", "3,676", "12,060", "Java, Indonesia"
"Mount Drum", "3,661", "12,011", "Alaska, United States"
"Kabargin Oth Group", "3,650", "11,975", "Georgia"
"Lautaro", "3,607", "11,834", "Chile"
"Ghegam Ridge", "3,597", "11,801", "Armenia"
"Toney Mountain", "3,595", "11,795", "Antarctica"
"Mount Tendürek", "3,584", "11,759", "Turkey"
"Reventador", "3,562", "11,686", "Ecuador –  Active since 2002"
"Mount Steere", "3,558", "11,673", "Antarctica"
"Santo Tomas", "3,542", "11,621", "Guatemala"
"Volcán Atitlán", "3,535", "11,598", "Guatemala"
"Kronotsky", "3,527", "11,572", "Kamtchatka Peninsula Russia"
"Bazman", "3,490", "11,450", "Iran"
"Mount Berlin", "3,478", "11,411", "Antarctica"
"Volcán Barú", "3,474", "11,398", "Panama"
"Mount Nyiragongo", "3,470", "11,385", "Democratic Republic of the Congo"
"Mount Takahe", "3,460", "11,352", "Antarctica"
"Koryaksky", "3,456", "11,339", "Kamtchatka Peninsula Russia"
"Cerro Arenales", "3,437", "11,276", "Chile"
"Irazú Volcano", "3,432", "11,260", "Costa Rica"
"Mount Slamet", "3,428", "11,247", "Java, Indonesia"
"Mount Hood", "3,426", "11,240", "Oregon, United States"
"Emi Koussi", "3,415", "11,204", "Chad"
"Mount Overlord", "3,395", "11,138", "Antarctica"
"Mammoth Mountain", "3,390", "11,122", "California, United States"
"Mount Spurr", "3,374", "11,070", "Alaska, United States"
"Mount Sumbing", "3,371", "11,060", "Java, Indonesia"
"Turrialba Volcano", "3,340", "10,958", "Costa Rica"
"Arjuno-Welirang", "3,339", "10,955", "Java, Indonesia"
"Raung", "3,332", "10,932", "Java, Indonesia"
"Dar-Alages", "3,329", "10,922", "Armenia"
"Mount Etna", "3,329", "10,922", "Sicily, Italy"
"Mount Hampton", "3,323", "10,902", "Antarctica"
"Mount Waesche", "3,292", "10,801", "Antarctica"
"Mount Baker", "3,285", "10,778", "Washington United States"
"Toussidé", "3,265", "10,712", "Chad"
"Mount Lawu", "3,265", "10,712", "Java, Indonesia"
"Mount Hasan", "3,253", "10,673", "Turkey"
"Cuicocha", "3,246", "10,650", "Ecuador"
"Nevado de Longaví", "3,242", "10,636", "Chile"
"Mount Terror", "3,230", "10,597", "Antarctica"
"Glacier Peak", "3,213", "10,541", "Washington, United States"
"Nevados de Chillán", "3,212", "10,538", "Chile"
"Mount Jefferson", "3,199", "10,495", "Oregon, United States"
"Almolonga", "3,197", "10,489", "Guatemala"
"Vakak Group", "3,190", "10,466", "Afghanistan"
"Lassen Peak", "3,189", "10,463", "California, United States"
"Mount Dempo", "3,173", "10,410", "Sumatra, Indonesia"
"El Jorullo", "3,170", "10,400", "Mexico"
"Parícutin", "3,170", "10,400", "Mexico"
"Callaqui", "3,164", "10,381", "Chile"
"Volcán Tolimán", "3,158", "10,361", "Guatemala"
"South Sister", "3,157", "10,358", "Oregon, United States"
"Mount Merbabu", "3,145", "10,318", "Central Java, Indonesia"
"Mount Sundoro", "3,136", "10,289", "Java, Indonesia"
"Llaima", "3,125", "10,253", "Chile"
"Mount Siple", "3,110", "10,203", "Antarctica"
"Mount Redoubt", "3,108", "10,197", "Alaska, United States"
"Tarso Voon", "3,100", "10,171", "Chad"
"Zimina", "3,081", "10,108", "Kamchatka Peninsula, Russia"
"Mount Cereme", "3,078", "10,098", "Java, Indonesia"
"Mount Ellis", "3,078", "10,098", "Antarctica"
"Piton des Neiges", "3,069", "10,069", "Réunion, Indian Ocean"
"Mount Ontake", "3,067", "10,062", "Chūbu region, Honshū, Japan"
"Mount Nyamuragira", "3,058", "10,033", "Democratic Republic of the Congo"
"Haleakalā", "3,055", "10,023", "Maui, Hawaii, United States"
"Mount Iliamna", "3,053", "10,016", "Alaska, United States"
"Pleiades", "3,040", "9,974", "Antarctica"
"Hayes Volcano", "3,034", "9,954", "Alaska, United States"
"Mount Agung", "3,031", "9,944", "Bali, Indonesia"
"Mount Norikura", "3,026", "9,928", "Chūbu region, Honshū, Japan"
"Pico Basilé", "3,011", "9,879", "Bioko, Equatorial Guinea"
"Royal Society Volcano", "3,000", "9,843", "Antarctica"
"Tskhouk-Karckar", "3,000", "9,843", "Armenia"
