"Mountain","Metres","Feet","Location and Notes"
"Copahue","2,997","9,833","Argentina/Chile"
"Mount Zuqualla","2,989","9,806","Oromia Region, Ethiopia"
"Antuco","2,979","9,774","Chile"
"Mount Andrus","2,978","9,770","Antarctica"
"Mount Gede","2,958","9,705","Java, Indonesia"
"Mount Apo","2,954","9,692","Philippines"
"Udina","2,923","9,590","Kamchatka Peninsula, Russia"
"Mount Talakmau","2,919","9,577","West Sumatra, Indonesia"
"Mount Merapi","2,914","9,560","Central Java/Togyakarta, Indonesia"
"Mount Marapi","2,891","9,485","West Sumatra, Indonesia"
"Geureudong","2,885","9,465","Sumatra, Indonesia"
"Bezymianny","2,882","9,455","Kamchatka Peninsula, Russia"
"Mount Silverthrone","2,865","9,400","British Columbia, Canada"
"Lonquimay","2,865","9,400","Chile"
"Mount Tambora","2,850","9,350","Lesser Sunda Islands, Indonesia"
"Villarrica","2,847","9,341","Chile"
"Mount Fogo","2,829","9,281","Cape Verde"
"Mount Patah","2,817","9,242","Sumatra, Indonesia"
"Tolhuaca","2,806","9,206","Chile"
"Peuet Sague","2,801","9,190","Indonesia"
"Porak","2,800","9,186","Armenia"
"Ijen","2,799","9,183","Java, Indonesia"
"Mount Ruapehu","2,797","9,177","North Island, New Zealand"
"Mount Edziza","2,787","9,144","British Columbia, Canada"
"Mount Longonot","2,776","9,108","Kenya"
"Big Ben","2,745","9,006","McDonald Island, Australia  –  Tallest in Australia"
"Mawson Peak","2,745","9,006","Heard Island, Australia"
"Baekdu Mountain","2,744","9,003","North Korea/China"
"Avachinsky","2,741","8,993","Kamchatka Peninsula, Russia"
"Mount Melbourne","2,732","8,963","Antarctica"
"Mount Morning","2,723","8,934","Antarctica"
"Mount Balbi","2,715","8,907","Bougainville, Papua New Guinea"
"Poás Volcano","2,708","8,885","Costa Rica"
"Mount Murphy","2,703","8,868","Antarctica"
"Mount Haku","2,702","8,865","Chūbu region, Honshū, Japan"
"Mount Discovery","2,681","8,796","Antarctica"
"Mount Meager massif","2,680","8,793","British Columbia, Canada"
"Mount Garibaldi","2,678","8,786","British Columbia, Canada"
"Mount Papandayan","2,665","8,743","Java, Indonesia"
"Osorno","2,652","8,701","Chile"
"Piton de la Fournaise","2,631","8,632","Réunion, Indian Ocean"
"Mount Kendang","2,608","8,556","Java, Indonesia"
"Alney-Chashakondzha","2,598","8,524","Kamchatka Peninsula, Russia"
"Mount Talang","2,597","8,520","Sumatra, Indonesia"
"Gamchen","2,576","8,451","Kamchatka Peninsula, Russia"
"Mount Asama","2,568","8,425","Honshū, Japan"
"Dieng Volcanic Complex","2,565","8,415","Java, Indonesia"
"Mount Wilis","2,563","8,409","Java, Indonesia"
"Sierra Nevada","2,554","8,379","Chile"
"Pacaya","2,552","8,373","Guatemala"
"Ostry","2,552","8,373","Kamchatka Peninsula, Russia"
"Mount St. Helens","2,550","8,366","Washington, United States"
"Aguilera","2,546","8,353","Chile"
"Shishel","2,525","8,284","Kamchatka Peninsula, Russia"
"Mount Taranaki/Egmont","2,518","8,261","North Island, New Zealand"
"Mount Sumbing","2,507","8,225","Sumatra, Indonesia"
"Bridge River Cones","2,500","8,202","British Columbia, Canada"
"Mount Nantai","2,486","8,156","Honshū, Japan"
"Rainbow Range","2,478","8,130","British Columbia, Canada"
"Bukit Daun","2,467","8,094","Sumatra, Indonesia"
"Kanlaon Volcano","2,465","8,087","Philippines"
"Mayon Volcano","2,463","8,081","Albay, Philippines"
