"Year","Title","Worldwide gross","Budget","Reference(s)"
"1954","20,000 Leagues Under the Sea","$25,000,134($6,800,000–8,000,000)","$4,500,000–9,000,000",""
"1955","Lady and the Tramp","$187,000,000 ($6,500,000)","$4,000,000",""
"1955","Cinerama Holiday","$21,000,000","$2,000,000",""
"1955","Mister Roberts","$9,900,000","$2,400,000",""
"1956","The Ten Commandments","$90,066,230($122,700,000/$55,200,000)","$13,270,000",""
"1957","The Bridge on the River Kwai","$30,600,000","$2,840,000",""
"1958","South Pacific","$30,000,000","$5,610,000",""
"1959","Ben-Hur","$90,000,000($146,900,000/$66,100,000)","$15,900,000",""
"1960","Swiss Family Robinson","$30,000,000","$4,000,000",""
"1960","Spartacus","$60,000,000 ($22,105,225)","$10,284,014",""
"1960","Psycho","$50,000,000+ ($14,000,000)","$800,000",""
"1961","One Hundred and One Dalmatians","$215,880,212","$3,600,000–4,000,000",""
"1961","West Side Story","$105,000,000 ($31,800,000)","$7,000,000",""
"1962","Lawrence of Arabia","$77,324,852 ($69,995,385)","$13,800,000",""
"1962","How the West Was Won","$35,000,000","$14,483,000",""
"1962","The Longest Day","$33,200,000","$8,600,000",""
"1963","Cleopatra","$40,300,000","$31,115,000",""
"1963","From Russia with Love","$78,900,000/$29,400,000($12,500,000)","$2,000,000",""
"1964","My Fair Lady","$55,000,000","$17,000,000",""
"1964","Goldfinger","$124,900,000 ($46,000,000)","$3,000,000",""
"1964","Mary Poppins","$44,000,000–$50,000,000","$5,200,000",""
"1965","The Sound of Music","$286,214,076 ($114,600,000)","$8,000,000",""
"1966","The Bible: In the Beginning","$25,300,000","$18,000,000",""
"1966","Hawaii","$34,562,222 ($15,600,000)","$15,000,000",""
"1966","Who's Afraid of Virginia Woolf?","$30,000,000 ($14,500,000)","$7,613,000",""
"1967","The Jungle Book","$378,000,000 ($23,800,000)","$3,900,000–4,000,000",""
"1967","The Graduate","$85,000,000","$3,100,000",""
"1968","2001: A Space Odyssey","$141,000,000–190,000,000($21,900,000)","$10,300,000",""
"1968","Funny Girl","$80,000,000–100,000,000","$8,800,000",""
"1969","Butch Cassidy and the Sundance Kid","$152,308,525 ($37,100,000)","$6,600,000",""
"1970","Love Story","$80,000,000","$2,260,000",""
"1970","Airport","$75,000,000","$10,000,000",""
"1971","The French Connection","$75,000,000","$3,300,000",""
"1971","Fiddler on the Roof","$49,400,000  ($100,000,000/$45,100,000)","$9,000,000",""
"1971","Diamonds Are Forever","$116,000,000 ($45,700,000)","$7,200,000",""
"1972","The Godfather","$245,066,044–286,000,000  ($127,600,000–142,000,000)","$6,200,000",""
"1973","The Exorcist","$413,071,948 ($110,000,000)","$10,000,000",""
"1973","The Sting","$115,000,000","$5,500,000",""
"1974","The Towering Inferno","$91,838,000","$14,300,000",""
"1974","Blazing Saddles","$80,000,000+","$2,600,000",""
"1975","Jaws","$470,653,591 ($193,700,000)","$9,000,000",""
"1976","Rocky","$225,000,000 ($77,100,000)","$1,075,000",""
"1977","Star Wars","$775,398,007  ($530,000,000/$268,500,000)","$11,293,151",""
"1978","Grease","$395,452,066 ($341,000,000)","$6,000,000",""
"1979","Moonraker","$210,300,000","$31,000,000",""
"1979","Rocky II","$200,182,289","$7,000,000",""
"1980","The Empire Strikes Back","$547,969,004 ($413,562,607)","$23,000,000–32,000,000",""
"1981","Raiders of the Lost Ark","$389,925,971  ($321,866,000–353,988,025)","$18,000,000–22,800,000",""
"1982","E.T. the Extra-Terrestrial","$792,910,554  ($619,000,000–664,000,000)","$10,500,000–12,200,000",""
"1983","Return of the Jedi","$475,106,177 ($385,845,197)","$32,500,000–42,700,000",""
"1984","Indiana Jones and the Temple of Doom","$333,107,271","$27,000,000–28,200,000",""
"1985","Back to the Future","$389,053,797 ($381,109,762)","$19,000,000–22,000,000",""
"1986","Top Gun","$356,830,601 ($345,000,000)","$14,000,000–19,000,000",""
"1987","Fatal Attraction","$320,145,905","$14,000,000",""
"1988","Rain Man","$354,825,476","$30,000,000",""
"1989","Indiana Jones and the Last Crusade","$474,171,806–494,000,000","$36,000,000–55,400,000",""
"1990","Ghost","$505,702,423","$22,000,000",""
"1991","Terminator 2: Judgment Day","$523,774,456 ($519,843,345)","$94,000,000",""
"1992","Aladdin","$504,050,045","$28,000,000",""
"1993","Jurassic Park","$1,029,939,903 ($914,691,118)","$63,000,000–70,000,000",""
"1994","The Lion King","$968,483,777 ($763,455,561)","$45,000,000–79,300,000",""
"1995","Toy Story","$373,554,033 ($364,873,776)","$30,000,000",""
"1995","Die Hard with a Vengeance","$366,101,666","$70,000,000",""
"1996","Independence Day","$817,400,891","$75,000,000",""
"1997","Titanic","$2,187,463,944 ($1,843,201,268)","$200,000,000",""
"1998","Armageddon","$553,709,626","$140,000,000",""
"1999","Star Wars: Episode I – The Phantom Menace","$1,027,044,677 ($924,317,558)","$115,000,000–127,500,000",""
"2000","Mission: Impossible 2","$546,388,105","$100,000,000–125,000,000",""
"2001","Harry Potter and the Philosopher's Stone","$975,051,288 ($974,755,371)","$125,000,000",""
"2002","The Lord of the Rings: The Two Towers","$926,349,708 ($921,780,457)","$94,000,000",""
"2003","The Lord of the Rings: The Return of the King","$1,120,237,002 ($1,119,110,941)","$94,000,000",""
"2004","Shrek 2","$919,838,758","$150,000,000",""
"2005","Harry Potter and the Goblet of Fire","$897,099,794 ($896,911,078)","$150,000,000",""
"2006","Pirates of the Caribbean: Dead Man's Chest","$1,066,179,725","$225,000,000",""
"2007","Pirates of the Caribbean: At World's End","$963,420,425","$300,000,000",""
"2008","The Dark Knight","$1,004,558,444 ($997,039,412)","$185,000,000",""
"2009","Avatar","$2,789,679,794 ($2,749,064,328)","$237,000,000",""
"2010","Toy Story 3","$1,066,969,703","$200,000,000",""
"2011","Harry Potter and the Deathly Hallows – Part 2","$1,341,693,157 ($1,341,511,219)","$250,000,000",""
"2012","The Avengers","$1,518,812,988","$220,000,000",""
"2013","Frozen","$1,290,000,000 ($1,287,000,000)","$150,000,000",""
"2014","Transformers: Age of Extinction","$1,104,039,076","$210,000,000",""
"2015","Star Wars: The Force Awakens","$2,068,223,624","$245,000,000",""
"2016","Captain America: Civil War","$1,153,304,495","$250,000,000",""
"2017","Star Wars: The Last Jedi","$1,332,539,889","$200,000,000",""
"2018","Avengers: Infinity War","$2,048,359,754","$316,000,000–400,000,000",""
"2019","Avengers: Endgame","$2,793,559,174","$356,000,000",""
